NO_IWCS|NM_PREFERRED|NO_ACCOUNT|INSTALLEDPROPERTYNUMBER|METERREF|MANUFACTURER_PK|MANUFACTURERSERIALNUM_PK
09025041602|MEGGITT AEROSPACE LIMITED|592003747|599002941|887002345|KENTMETERS|84600667
09025041602|MEGGITT AEROSPACE LIMITED|592003747|599002941|514003471|ACTARIS|14KE014697
09025041701|MIL-VER METALS CO LTD|684002296|434003563|918018967|ACTARIS|13BU075567
09025041701|MIL-VER METALS CO LTD|684002296|434003563|644003678|SCHLUMBERGER|13BU060330
09025041701|MIL-VER METALS CO LTD|684002296|434003563|918018971|ACTARIS|13MA255211
09025041701|MIL-VER METALS CO LTD|684002296|434003563|754002025|KENTMETERS|99824388
09025041701|MIL-VER METALS CO LTD|684002296|434003563|434003069|ACTARIS|15JB046807
09025041701|MIL-VER METALS CO LTD|684002296|434003563|223002203|SCHLUMBERGER|08016306
09025041701|MIL-VER METALS CO LTD|684002296|434003563|430002006|PONTAMOUSSON|04903447
09025041702|MIL-VER METALS CO LTD|684002296|434003563|918018967|ACTARIS|13BU075567
09025041702|MIL-VER METALS CO LTD|684002296|434003563|918018971|ACTARIS|13MA255211
09025041702|MIL-VER METALS CO LTD|684002296|434003563|754002025|KENTMETERS|99824388
09025041702|MIL-VER METALS CO LTD|684002296|434003563|430002006|PONTAMOUSSON|04903447
09025041702|MIL-VER METALS CO LTD|684002296|434003563|223002203|SCHLUMBERGER|08016306
09025041702|MIL-VER METALS CO LTD|684002296|434003563|644003678|SCHLUMBERGER|13BU060330
09025041702|MIL-VER METALS CO LTD|684002296|434003563|434003069|ACTARIS|15JB046807
09025042602|GLASSOLUTIONS SAINT-GOBAIN LTD|855002008|303003272|360002025|KENTMETERS|61411805
09025043701|SURFACE TECHNOLOGY COVENTRY|406003150|434003451|222003335|PONTAMOUSSON|96001291
09025043701|SURFACE TECHNOLOGY COVENTRY|406003150|434003451|222003414|SOCAMOUSSON|99210950
09025043701|SURFACE TECHNOLOGY COVENTRY|406003150|434003451|222003415|SOCAMOUSSON|99210956
09025045201|J R CLARK (COVENTRY) LTD|731002060|602002184|955002486|KENTMETERS|85103741
09025045201|J R CLARK (COVENTRY) LTD|731002060|602002184|179004752|ACTARIS|16MA164398
09025057201|SUPERIOR PAINT and POWDER COATING LTD|592004037|539002134|885002283|SCHLUMBERGER|04004943
09025058201|TRAVEL WEST MIDLANDS LTD (PREV WEST MIDLANDS TRAVEL)|427002206|406004270|341004206|KENTMETERS|97229101
09025058401|MISSION FOODS LTD|700002421|881003439|667002297|SCHLUMBERGER|07011041
09025058401|MISSION FOODS LTD|700002421|881003439|136008092|SCHLUMBERGER|11065515
09025058601|ANDUFF CARWASH LIMITED|491003143|330002063|643002870|SCHLUMBERGER|09109040
09025058701|ANDUFF CARWASH LTD|798003734|831248856|415007246|ACTARIS|13KD112653
09025058801|NUNEATON and BEDWORTH BOROUGH COUNCIL|292003413|881002619|609002875|KENTMETERS|06712095
09025060201|HANDMADE SPECIALITY PRODUCTS LTD|902004968|911002012|843002043|SCHLUMBERGER|04013358
09025983101|FOLESHILL PLATING LTD|453002008|599003028|893006737|SCHLUMBERGER|15XH022619
09025991901|MIL-VER METALS CO LTD|635009989|434003563|223002203|SCHLUMBERGER|08016306
09025991901|MIL-VER METALS CO LTD|635009989|434003563|430002006|PONTAMOUSSON|04903447
09025991901|MIL-VER METALS CO LTD|635009989|434003563|754002025|KENTMETERS|99824388
09025991901|MIL-VER METALS CO LTD|635009989|434003563|918018971|ACTARIS|13MA255211
09025991901|MIL-VER METALS CO LTD|635009989|434003563|918018967|ACTARIS|13BU075567
09025991901|MIL-VER METALS CO LTD|635009989|434003563|644003678|SCHLUMBERGER|13BU060330
09025991901|MIL-VER METALS CO LTD|635009989|434003563|434003069|ACTARIS|15JB046807
09025991902|MIL-VER METALS CO LTD|207005199|434003563|223002203|SCHLUMBERGER|08016306
09025991902|MIL-VER METALS CO LTD|207005199|434003563|430002006|PONTAMOUSSON|04903447
09025991902|MIL-VER METALS CO LTD|207005199|434003563|754002025|KENTMETERS|99824388
09025991902|MIL-VER METALS CO LTD|207005199|434003563|918018971|ACTARIS|13MA255211
09025991902|MIL-VER METALS CO LTD|207005199|434003563|918018967|ACTARIS|13BU075567
09025991902|MIL-VER METALS CO LTD|207005199|434003563|644003678|SCHLUMBERGER|13BU060330
09025991902|MIL-VER METALS CO LTD|207005199|434003563|434003069|ACTARIS|15JB046807
09025991903|MIL-VER METALS CO LTD|442005124|434003563|918018971|ACTARIS|13MA255211
09025991903|MIL-VER METALS CO LTD|442005124|434003563|918018967|ACTARIS|13BU075567
09025991903|MIL-VER METALS CO LTD|442005124|434003563|644003678|SCHLUMBERGER|13BU060330
09025991903|MIL-VER METALS CO LTD|442005124|434003563|434003069|ACTARIS|15JB046807
09025991903|MIL-VER METALS CO LTD|442005124|434003563|223002203|SCHLUMBERGER|08016306
09025991903|MIL-VER METALS CO LTD|442005124|434003563|430002006|PONTAMOUSSON|04903447
09025991903|MIL-VER METALS CO LTD|442005124|434003563|754002025|KENTMETERS|99824388
09025993101|COVENTRY DISTRICT ENERGY COMPANY LIMITED|319011827|876002342|805009999|ACTARIS|14KD024820
09058004203|NORBERT DENTRESSANGLE LOGISTICS UK|320002409|698002424|135012128|SCHLUMBERGER|15JC027278
09058004203|NORBERT DENTRESSANGLE LOGISTICS UK|320002409|698002718|663003353|ACTARIS|14KC138154
09058004204|NORBERT DENTRESSANGLE LOGISTICS UK|320002409|698002424|135012128|SCHLUMBERGER|15JC027278
09058004204|NORBERT DENTRESSANGLE LOGISTICS UK|320002409|698002718|663003353|ACTARIS|14KC138154
09058008601|FREEMAN and PROCTOR LIMITED|553006887|583087824|226002394|SMARTMETER|07010989
09058008601|FREEMAN and PROCTOR LIMITED|553006887|583087824|478002485|SCHLUMBERGER|07014430
09058008602|FREEMAN and PROCTOR LIMITED|553006887|583087824|226002394|SMARTMETER|07010989
09058008602|FREEMAN and PROCTOR LIMITED|553006887|583087824|478002485|SCHLUMBERGER|07014430
09058009101|NUNEATON and BEDWORTH BOROUGH COUNCIL|320002412|698002577|429002196|KENTMETERS|96001491
09058009101|NUNEATON and BEDWORTH BOROUGH COUNCIL|320002412|698002578|308002443|ACTARIS|12JB018072
09058009102|NUNEATON and BEDWORTH BOROUGH COUNCIL|320002412|698002578|308002443|ACTARIS|12JB018072
09058009102|NUNEATON and BEDWORTH BOROUGH COUNCIL|320002412|698002577|429002196|KENTMETERS|96001491
09058009701|NUNEATON AND BEDWORTH BOROUGH COUNCIL|211003599|434002619|315003205|ACTARIS|13JB057441
09058009701|NUNEATON AND BEDWORTH BOROUGH COUNCIL|211003599|434002619|135004356|ACTARIS|10KC085061
09058009701|NUNEATON AND BEDWORTH BOROUGH COUNCIL|211003599|434002619|595002576|SCHLUMBERGER|08393164
09058051601|RALPH COLEMAN INTERNATIONAL LTD|588009922|602002174|833003300|ACTARIS|15KE054262
09101002801|TNT UK LTD|236005317|434003619|222002637|KENTMETERS|02126258
09101002801|TNT UK LTD|236005317|434003619|700004605|SCHLUMBERGER|15XF120387
09101002801|TNT UK LTD|236005317|434003619|758002352|SCHLUMBERGER|08071387
10102026800|WALKERS MIDSHIRE FOODS LTD|669002005|356002044|402004484|SCHLUMBERGER|16XF027463
10102026800|WALKERS MIDSHIRE FOODS LTD|669002005|356002044|887002124|KENTMETERS|98001499
10102026800|WALKERS MIDSHIRE FOODS LTD|669002005|356002044|260002097|KENTMETERS|990130501
10102026800|WALKERS MIDSHIRE FOODS LTD|669002005|356002044|564015898|SCHLUMBERGER|06014084
10102026800|WALKERS MIDSHIRE FOODS LTD|669002005|356002044|730002002|KENTMETERS|99098938
10102026800|WALKERS MIDSHIRE FOODS LTD|669002005|356002044|809002007|SCHLUMBERGER|04812115
10102029300|WALKERS CHARNWOOD BAKERY|281002021|599002950|752004055|UNKNOWN|110102716
10102029300|WALKERS CHARNWOOD BAKERY|281002021|599002950|660003128|SCHLUMBERGER|12009168
10102029300|WALKERS CHARNWOOD BAKERY|281002021|599002950|613002771|KENTMETERS|0801010X
10102029300|WALKERS CHARNWOOD BAKERY|281002021|599002950|383004472|ACTARIS|15JE119777
10102032700|WALKERS MIDSHIRE FOODS LTD|592003595|356002044|260002097|KENTMETERS|990130501
10102032700|WALKERS MIDSHIRE FOODS LTD|592003595|356002044|887002124|KENTMETERS|98001499
10102032700|WALKERS MIDSHIRE FOODS LTD|592003595|356002044|402004484|SCHLUMBERGER|16XF027463
10102032700|WALKERS MIDSHIRE FOODS LTD|592003595|356002044|564015898|SCHLUMBERGER|06014084
10102032700|WALKERS MIDSHIRE FOODS LTD|592003595|356002044|730002002|KENTMETERS|99098938
10102032700|WALKERS MIDSHIRE FOODS LTD|592003595|356002044|809002007|SCHLUMBERGER|04812115
10102035100|BRADGATE BAKERY|497002007|599002950|613002771|KENTMETERS|0801010X
10102035100|BRADGATE BAKERY|497002007|599002950|660003128|SCHLUMBERGER|12009168
10102035100|BRADGATE BAKERY|497002007|599002950|752004055|UNKNOWN|110102716
10102035100|BRADGATE BAKERY|497002007|599002950|383004472|ACTARIS|15JE119777
10102043500|WALKERS MIDSHIRE FOODS LTD|592003596|356002044|260002097|KENTMETERS|990130501
10102043500|WALKERS MIDSHIRE FOODS LTD|592003596|356002044|887002124|KENTMETERS|98001499
10102043500|WALKERS MIDSHIRE FOODS LTD|592003596|356002044|809002007|SCHLUMBERGER|04812115
10102043500|WALKERS MIDSHIRE FOODS LTD|592003596|356002044|730002002|KENTMETERS|99098938
10102043500|WALKERS MIDSHIRE FOODS LTD|592003596|356002044|564015898|SCHLUMBERGER|06014084
10102043500|WALKERS MIDSHIRE FOODS LTD|592003596|356002044|402004484|SCHLUMBERGER|16XF027463
10102097501|JUST EGG CHILLED FOODS LTD|221002016|908056202|399010471|KENTMETERS|03229808
10102097701|EUROPRINT LIMITED|652002007|5002115|336003118|SCHLUMBERGER|13XF072424
10102098501|BANNATYNE FITNESS LIMITED|581002246|547023393|927005001|SCHLUMBERGER|08071343.
10102098801|BIFFA LEICESTER LTD|199002169|323002038|888002025|SCHLUMBERGER|01000208A
10102100501|PLATING TECHNOLOGIES LIMITED|731004117|831022131|297005751|KENTMETERS|81142191
10102101301|FIRST LEICESTER CITY BUS|985003756|839002191|581006682|UNKNOWN|38045606A
10102101401|ST MATTHEWS LAUNDERETTE|544003726|547077194|773002490|SCHLUMBERGER|07130731
10102101601|CATERPILLAR (UK) LTD|702006221|599002967|804015037|SCHLUMBERGER|10QL02306
10102101601|CATERPILLAR (UK) LTD|702006221|599002967|887002822|KENTMETERS|97444310
10102101901|PEPSICO INTERNATIONAL LTD|913002795|553002305|302006147|SCHLUMBERGER|14KE031729
10102103801|LEICESTERSHIRE COUNTY COUNCIL|233004441|322002367|715003809|KENTMETERS|10288308
10102104301|SOFIDEL UK LTD|535002617|831016248|523003173|SCHLUMBERGER|07HB003396
10102104301|SOFIDEL UK LTD|535002617|831016248|968004922|SCHLUMBERGER|12BU050379
10102106801|BESPOKE KITCHEN FOODS|677008149|602002319|162005552|ACTARIS|14KD112853
10102106801|BESPOKE KITCHEN FOODS|677008149|602002320|955003094|SCHLUMBERGER|01000565
10102107301|SIMTOM FOOD PRODUCTS LTD|759011875|831018405|550002575|SCHLUMBERGER|08157612
10106001801|ELECTROFORMS and COMPONENTS LTD|916002092|601119361|414003272|KENTMETERS|83177055
10106002201|1ST CHOICE SKIP and GRAB HIRE LTD|731007411|831019740|780005128|SOCAMOUSSON|04650538
10202000600|CHARNWOOD FOODS LTD|534005781|972002007|502002735|SCHLUMBERGER|11124382
10202002300|P W CIRCUITS LTD|406003091|434002451|586005829|SCHLUMBERGER|15XF120356
10304000801|BARWELL PARISH COUNCIL|412005008|831017758|726004187|SCHLUMBERGER|14BU069676
10308000100|CATERPILLAR (UK) LTD|617002006|599002967|804015037|SCHLUMBERGER|10QL02306
10308000100|CATERPILLAR (UK) LTD|617002006|599002967|887002822|KENTMETERS|97444310
10313000201|BRITISH CAR AUCTION LTD|333006399|698002649|741003551|UNKNOWN|15BU079954
10402004000|TESCO STORES LTD (WAREHOUSE)|656002016|325002020|564016326|KENTMETERS|0800980
10402004901|JOHNSONS APPARELMASTER LTD|953005493|328002147|570002748|KENTMETERS|05711685A
10402004901|JOHNSONS APPARELMASTER LTD|953005493|328002147|710002225|SCHLUMBERGER|03087922
10402091001|DS SMITH CORRUGATED PACKAGING LIMITED|587004929|434002458|923002492|ACTARIS|11079807
10409000100|MR M STEVENS|320002671|831021301|588005489|KENTMETERS|86941611
10502000902|MARS PETCARE UK|913002008|406002579|177006415|ACTARIS|15BU055870
10502000902|MARS PETCARE UK|913002008|406002579|341002582|KENTMETERS|97373221
10502000902|MARS PETCARE UK|913002008|406002579|634004361|KENTMETERS|14QL03933
10502000902|MARS PETCARE UK|913002008|406002579|151007319|UNKNOWN|15BU042320
10502002700|MELTON MOWBRAY MARKET|406003153|434003559|719004273|UNKNOWN|06809673A
10502002700|MELTON MOWBRAY MARKET|406003153|434003559|166016620|SCHLUMBERGER|14KE031748
10602001200|FISHER SCIENTIFIC (UK) LTD (FAO ACCOUNTS DEPT BAKEWELL RD)|556002013|599003078|896006241|SCHLUMBERGER|11XL145802
10602001600|3M HEALTH CARE LTD|406003225|225002222|170003758|SCHLUMBERGER|08061319A
10602005600|FISHER SCIENTIFIC (UK) LTD (FAO ACCOUNTS DEPT BAKEWELL RD)|556002013|599003078|896006241|SCHLUMBERGER|11XL145802
10602006200|ANSTEY WALLPAPER COMPANY LIMITED|406003227|632002307|888003163|ACTARIS|11KD081322
10602006701|LOUGHBORO UNIVERSITY SERVICES LTD|147004163|380002152|147002703|SCHLUMBERGER|11059390A
10602006701|LOUGHBORO UNIVERSITY SERVICES LTD|147004163|380002152|512003550|UNKNOWN|10057051
10602006701|LOUGHBORO UNIVERSITY SERVICES LTD|147004163|380002152|887002154|KENTMETERS|91024292
10602006701|LOUGHBORO UNIVERSITY SERVICES LTD|147004163|380002152|146003750|SCHLUMBERGER|15BU070246
10602006701|LOUGHBORO UNIVERSITY SERVICES LTD|147004163|380002152|300002208|KENTMETERS|06033222
10602006701|LOUGHBORO UNIVERSITY SERVICES LTD|147004163|380002152|887002183|KENTMETERS|00556455
10602006701|LOUGHBORO UNIVERSITY SERVICES LTD|147004163|380002152|146002372|ACTARIS|11004839
10602006701|LOUGHBORO UNIVERSITY SERVICES LTD|147004163|380002152|549005795|SCHLUMBERGER|13XF027228
10602006701|LOUGHBORO UNIVERSITY SERVICES LTD|147004163|380002152|887002195|KENTMETERS|92002070
10602006701|LOUGHBORO UNIVERSITY SERVICES LTD|147004163|380002152|135013738|KENTMETERS|1784715A
10602006701|LOUGHBORO UNIVERSITY SERVICES LTD|147004163|380002152|887002660|KENTMETERS|91000788
10602006701|LOUGHBORO UNIVERSITY SERVICES LTD|147004163|380002152|613002019|KENTMETERS|970006671B
10602006701|LOUGHBORO UNIVERSITY SERVICES LTD|147004163|380002152|272002646|KENTMETERS|09QA01115
10602006701|LOUGHBORO UNIVERSITY SERVICES LTD|147004163|380002152|887002787|KENTMETERS|95014387
10602006701|LOUGHBORO UNIVERSITY SERVICES LTD|147004163|380002152|674002018|KENTMETERS|97385997B
10602006701|LOUGHBORO UNIVERSITY SERVICES LTD|147004163|380002152|889003535|SCHLUMBERGER|13KE058261
10602006701|LOUGHBORO UNIVERSITY SERVICES LTD|147004163|380002152|109006056|UNKNOWN|00004588
10602006701|LOUGHBORO UNIVERSITY SERVICES LTD|147004163|380002152|615003615|SCHLUMBERGER|15JB032531
10602006701|LOUGHBORO UNIVERSITY SERVICES LTD|147004163|380002152|679003296|SCHLUMBERGER|11151888.
10602006901|KINCHBUS LTD|211005360|583069021|793003267|KENTMETERS|99011449
10602091401|MRS P J CHOHAN|389008087|790002052|613002706|SCHLUMBERGER|09052220
10603000700|JUNCTION 23 LORRY PARK LTD|320002428|698002744|552003208|KENTMETERS|04266417A
10603000700|JUNCTION 23 LORRY PARK LTD|320002428|698002743|426003217|ACTARIS|11057062
10603001601|WILLIAMS LEA UK LTD|382008497|406002622|341002624|KENTMETERS|80188800
10603001601|WILLIAMS LEA UK LTD|382008497|406002622|341002625|KENTMETERS|84276841
10702090201|CENTRAL CONSTRUCTION SERVICES LTD|978006076|152017230|812010199|SOCAMOUSSON|03456743
10702090801|DESIGNWORKS LIMITED|494009128|198037160|374004671|ACTARIS|13MA106511
10702090901|BESPOKE KITCHENS FOODS LTD|893021584|225002257|507002262|KENTMETERS|03456785
10705000200|SLACK and PARR LTD|320002433|698002639|429002103|KENTMETERS|97537815
10705000700|SLACK and PARR LTD|320002433|698002639|429002103|KENTMETERS|97537815
10705000901|MOTO HOSPITALITY LTD|821007123|406004748|673002701|SCHLUMBERGER|10040940
11106002901|ANDUFF CAR WASH LTD|721002016|908021757|952036644|ACTARIS|09008056
11111002301|WELEDA (UK) LIMITED|731002099|104002025|589006492|ACTARIS|16MA078346
11111002301|WELEDA (UK) LIMITED|731002099|426002109|789002380|SCHLUMBERGER|07003397
11111002301|WELEDA (UK) LIMITED|731002099|602002141|465002025|KENTMETERS|04196117
11111004101|GILTBROOK DYERS and CLEANERS LTD|230003339|650443084|184002237|SCHLUMBERGER|06085263
11111004601|DONALD WARD RECYCLING LTD|407005720|957002324|959002322|SCHLUMBERGER|07125965
11112003101|FRESHCUT FOODS LIMITED|235004049|434002500|643006000|SCHLUMBERGER|15JE034773
11114002201|PENTAGON (NOTTINGHAM) LTD|530007385|602002109|955002347|PONTAMOUSSON|01478947
11114002201|PENTAGON (NOTTINGHAM) LTD|530007385|602002110|122004467|ACTARIS|14MA099993
11114002302|CBS ENGINEERING and HEAT TREATMENT LTD|844007268|602002089|487010541|KENTMETERS|00014695.
11114002302|CBS ENGINEERING and HEAT TREATMENT LTD|844007268|602002090|955002759|KENTMETERS|99264635
11114004901|WEST PARK LEISURE CENTRE|449002387|434003548|753009276|ACTARIS|15JB002041
11114004901|WEST PARK LEISURE CENTRE|449002387|434003548|222003029|KENTMETERS|97355911
11114005101|ANDUFF CARWASH LIMITED|934004340|385077299|308002200|SCHLUMBERGER|07014052
11204007401|BOOTS CONTRACT MANUFACTURING LTD|446007468|967002017|319002900|SCHLUMBERGER|0901080
11204007401|BOOTS CONTRACT MANUFACTURING LTD|446007468|967002017|520006887|SCHLUMBERGER|16XH07861
11204007401|BOOTS CONTRACT MANUFACTURING LTD|446007468|967002017|581005303|KENTMETERS|02034376
11204007401|BOOTS CONTRACT MANUFACTURING LTD|446007468|967002017|432003433|SCHLUMBERGER|11065208
11204012101|HOVIS LIMITED|322010940|713002011|899002012|UNKNOWN|00803268
11204012101|HOVIS LIMITED|322010940|713002011|449016502|ACTARIS|11084065
11204034801|RUSHCLIFFE LEISURE CENTRE|989002033|406003059|217005448|SCHLUMBERGER|15XF120212
11204038001|EAST MIDLANDS TRAINS LIMITED|755005685|696002602|611006434|ACTARIS|14KE031750
11204038002|EAST MIDLANDS TRAINS LIMITED|755005685|696002602|611006434|ACTARIS|14KE031750
11204038601|ULVS LTD|252007112|729002034|171002084|SCHLUMBERGER|05000858
11204038701|START FRESH LTD|469010077|336002031|607003926|ACTARIS|11029966
11204038701|START FRESH LTD|469010077|726002050|563004435|ACTARIS|15JB056037
11204042101|SARVAL LTD|658002007|406002815|248008776|SCHLUMBERGER|16XF082263
11204042201|SARVAL LTD|658002007|406002815|248008776|SCHLUMBERGER|16XF082263
11301005002|SPAR CONVENIENCE STORE|923006039|703009593|297021583|SENSUS|06573423
11301005002|SPAR CONVENIENCE STORE|923006039|703009593|692003703|KENTMETERS|97568914
11311000601|RUSHCLIFFE BOROUGH COUNCIL|592003380|881003545|315003607|ACTARIS|14KE137826
11311000601|RUSHCLIFFE BOROUGH COUNCIL|592003380|881003542|792002063|SCHLUMBERGER|04808600
12101001301|ASHFIELD EXTRUSION LIMITED|320002474|881002431|277002372|SCHLUMBERGER|08010779
12101001301|ASHFIELD EXTRUSION LIMITED|320002474|698002692|479002206|SCHLUMBERGER|07130689
12101001301|ASHFIELD EXTRUSION LIMITED|320002474|698002633|354002754|SCHLUMBERGER|07107933
12404001801|CHELTENHAM and GLOUCESTER OMNIBUS CO LTD|731002121|602002170|633006569|ACTARIS|15JE111931
12404001801|CHELTENHAM and GLOUCESTER OMNIBUS CO LTD|731002121|602002169|692019246|ACTARIS|11057018
12404005701|W and J LINNEY LTD|406003232|881003362|180004682|KENTMETERS|97273644
12404006001|MANSFIELD ANODISERS LIMITED|851002664|547040080|451002383|SCHLUMBERGER|08009705
12422000401|PAN EUROPEAN FOODS LTD|592003614|535002360|662002134|SCHLUMBERGER|06007764
12422000401|PAN EUROPEAN FOODS LTD|592003614|535002359|967002257|PONTAMOUSSON|05151884
12422000401|PAN EUROPEAN FOODS LTD|592003614|535002358|967002259|PONTAMOUSSON|05151886
12422000401|PAN EUROPEAN FOODS LTD|592003614|535002357|967002260|PONTAMOUSSON|05151881
12501000801|CHELTENHAM and GLOUCESTER OMNIBUS CO LTD|320002485|698002519|607007029|SCHLUMBERGER|12BU094878
12501000801|CHELTENHAM and GLOUCESTER OMNIBUS CO LTD|320002485|698002564|429002153|KENTMETERS|99812084
12501004201|J SAINSBURY PLC|621002011|406004453|341004370|KENTMETERS|99197233
12501004901|BANNATYNES HEALTH CLUB (WORKSOP) LIMITED|312003488|554002099|396007671|ACTARIS|14KD137381
12501005001|ANDUFF CAR WASH LIMITED|972004094|152034968|282002170|KENTMETERS|06571049
13311001401|DERBYSHIRE DALES DISTRICT COUNCIL|436006607|773002328|887003753|SCHLUMBERGER|16JD080677
13331001801|WELDEX (INTERNATIONAL) OFFSHORE LTD|592003622|547101036|721012405|SCHLUMBERGER|09LU022739
13331004201|HW MARTIN (PLANT)  LTD|731002129|602002271|955002366|KENTMETERS|84074722
13331004201|HW MARTIN (PLANT)  LTD|731002129|602002316|955002995|SOCAMOUSSON|01616624
13331005101|D C LEISURE LTD|872002305|648002308|387002104|UNKNOWN|11061527
13364000201|MITCHELL DIESEL LTD|731002136|602002102|797002784|SCHLUMBERGER|10054118
13364000201|MITCHELL DIESEL LTD|731002136|602002102|797002784|SCHLUMBERGER|10054118
13541001201|PEAK ALES|107008082|658002681|597011537|SCHLUMBERGER|13BU106167
13541001201|PEAK ALES|107008082|901002065|294004837|SCHLUMBERGER|13BU106166
14111001601|EAST MIDLANDS TRAINS|331003743|225002464|960003535|SCHLUMBERGER|16XH028093
14111001602|EAST MIDLANDS TRAINS|331003743|225002464|960003535|SCHLUMBERGER|16XH028093
14111011101|ROYAL CROWN DERBY PORCELAIN CO LTD|769002060|790002062|603002535|SCHLUMBERGER|07117799
14111011101|ROYAL CROWN DERBY PORCELAIN CO LTD|769002060|790002061|208002065|KENTMETERS|99802217
14111022401|CENTRAL HIDE and SKIN CO LTD|320002690|385057703|469008323|KENTMETERS|13M322056
14111022601|DERBY CITY COUNCIL|406003125|434003502|807002684|KENTMETERS|94529510
14111022601|DERBY CITY COUNCIL|406003125|434003502|733002726|ACTARIS|12JB041764.
14111022601|DERBY CITY COUNCIL|406003125|434003502|896004477|SCHLUMBERGER|07122107
14111023501|RYKNELD TEAN LTD|356003211|908052964|468007360|ACTARIS|15JC018897
14111023601|ANDUFF CAR WASH LTD|582002806|580002012|315003849|ACTARIS|14KC138578
14111024301|CEMEX UK MATERIALS LTD|633007380|583026275|392002222|ACTARIS|12JB007643
14111024501|ROLLS ROYCE POWER ENGINEERING|467014502|476002005|360005237|UNKNOWN|14XK059058
14111024501|ROLLS ROYCE POWER ENGINEERING|467014502|476002005|334002681|SCHLUMBERGER|09XF151469
14121000201|BIFFA WASTE SERVICES LTD|279002008|303003790|470013858|ACTARIS|10108736
14211003101|SPECTRUM YARNS LIMITED|600003901|434003621|222003057|KENTMETERS|00016949
14411001001|QUILL INTERNATIONAL CHEMICALS LIMITED|320002569|698002682|429002295|KENTMETERS|97082086
14423002701|NATUREX LTD|946002012|148305642|293002569|SCHLUMBERGER|07061577
14423002701|NATUREX LTD|946002012|148305642|289013292|SCHLUMBERGER|13KC038368
14502000101|MOY PARK LTD|857002385|307002033|161002351|SCHLUMBERGER|10055621
14502000101|MOY PARK LTD|857002385|307002033|892002656|KENTMETERS|08000859
14502000101|MOY PARK LTD|857002385|307002033|887002537|KENTMETERS|97557850
14502000101|MOY PARK LTD|857002385|307002033|732003577|KENTMETERS|10W713577
14502000101|MOY PARK LTD|857002385|307002033|897002986|SCHLUMBERGER|08081573
14502001001|DERBYSHIRE DALES DC|211002040|307002033|410002601|SCHLUMBERGER|09198587
14502001001|DERBYSHIRE DALES DC|211002040|307002033|897002986|SCHLUMBERGER|08081573
14502001001|DERBYSHIRE DALES DC|211002040|307002033|732003577|KENTMETERS|10W713577
14502001001|DERBYSHIRE DALES DC|211002040|307002033|161002351|SCHLUMBERGER|10055621
14502001001|DERBYSHIRE DALES DC|211002040|307002033|892002656|KENTMETERS|08000859
14502001001|DERBYSHIRE DALES DC|211002040|307002033|887002537|KENTMETERS|97557850
14502001201|S J BARGH LIMITED|850008001|881003090|432006906|ACTARIS|13JB046229
14502001301|MOY PARK LTD|857002385|307002033|732003577|KENTMETERS|10W713577
14502001301|MOY PARK LTD|857002385|307002033|161002351|SCHLUMBERGER|10055621
14502001301|MOY PARK LTD|857002385|307002033|892002656|KENTMETERS|08000859
14502001301|MOY PARK LTD|857002385|307002033|887002537|KENTMETERS|97557850
14502001301|MOY PARK LTD|857002385|307002033|897002986|SCHLUMBERGER|08081573
15100000801|JAMES T BLAKEMAN SERVICES LTD|302002104|925002293|299008343|SCHLUMBERGER|14KE030533
15100000802|JAMES T BLAKEMAN SERVICES LTD|302002104|925002293|299008343|SCHLUMBERGER|14KE030533
15100001001|SHIRLEYS TRANSPORT LTD|731002159|602002121|955002012|KENTMETERS|99184546
15100001001|SHIRLEYS TRANSPORT LTD|731002159|602002122|441002133|UNKNOWN|99184542
15100034501|CERAM RESEARCH LTD|592003634|583002134|526016117|SOCAMOUSSON|04129927
15100034501|CERAM RESEARCH LTD|592003634|535002363|967002073|KENTMETERS|00014648
15100034501|CERAM RESEARCH LTD|592003634|535002362|229003731|SCHLUMBERGER|11053132
15100044801|LAFARGE TARMAC|75002147|908070912|124006608|ACTARIS|11KD081338
15100046101|ANDUFF CAR WASH LTD|34003335|547121277|562007082|SOCAMOUSSON|05191207A.
15100047101|RST LIMITED|797004301|434003596|222002100|SOCAMOUSSON|06514031
15100047101|RST LIMITED|797004301|434003596|222002101|SOCAMOUSSON|01032740
15100047301|RED INDUSTRIES LTD|805004075|303002182|917002430|SCHLUMBERGER|08185185
15100047501|DIMENSIONS LEISURE CENTRE|316003531|434003195|177005418|UNKNOWN|15JE034792
15100048101|JAMES T BLAKEMAN AND CO LTD|908077727|925002293|299008343|SCHLUMBERGER|14KE030533
15100049201|PREMIER FOODS LTD|665002011|608002008|354002004|KENTMETERS|96001272
15101013801|STAFFORDSHIRE MEAT PACKERS LTD|406003246|434002107|109002565|SCHLUMBERGER|07120896
15101013801|STAFFORDSHIRE MEAT PACKERS LTD|406003246|434003758|18002006|SCHLUMBERGER|04807242
15101017501|H and E SMITH LTD|592003637|535002249|279003265|ACTARIS|11030006
15101017501|H and E SMITH LTD|592003637|535002250|586002853|ACTARIS|11013385
15111001001|BICKERTON BROTHERS|777002215|596002433|190002289|ACTARIS|11014746
15202008301|ARMSTRONG METAL CEILINGS LTD|320002592|698002689|155002032|SCHLUMBERGER|06809055
15202008301|ARMSTRONG METAL CEILINGS LTD|320002592|698002691|815002503|SCHLUMBERGER|07112377
15202009901|ANDUFF CARWASH LTD|712004078|831011258|748009057|ACTARIS|14JB066560
