NO_IWCS|NM_PREFERRED|NO_ACCOUNT|NO_PROPERTY_TE|Manufacture|Meter Serial No
11204038001|EAST MIDLANDS TRAINS LIMITED|755005685|199002241|Radio Actaris|14KE031750
11204038002|EAST MIDLANDS TRAINS LIMITED|755005685|199002241||
11204042101|SARVAL LTD|658002007|977002006|Schlumberger|16XF082263
11204042201|SARVAL LTD|658002007|977002006||
14111001602|EAST MIDLANDS TRAINS|331003743|737002370||
14111022401|CENTRAL HIDE and SKIN CO LTD|320002690|698002389|Kent|13M322056
14111022601|DERBY CITY COUNCIL|406003125|434002980|Radio Actaris|12JB041764.
14111022601|DERBY CITY COUNCIL|406003125|434002980|Kent|94529510
14111024301|CEMEX UK MATERIALS LTD|633007380|539002319|Radio Actaris|12JB007643
14121000201|BIFFA WASTE SERVICES LTD|279002008|919002016|Radio Actaris|10108736
14411001001|QUILL INTERNATIONAL CHEMICALS LIMITED|320002569|698002400|Kent|97082086
14502001301|MOY PARK LTD|857002385|599002839|Kent|10W713577
14502001301|MOY PARK LTD|857002385|599002839|Kent|08000859
14502001301|MOY PARK LTD|857002385|599002839|Schlumberger|08081573
15100000802|JAMES T BLAKEMAN SERVICES LTD|302002104|658002153||
15100047301|RED INDUSTRIES LTD|805004075|339002082|Schlumberger|08185185
15202010902|ARRIVA MIDLANDS LIMITED|184007386|796002404||
15555000802|TENNANTS FINE CHEMICALS LIMITED|884002006|406002185|Radio Actaris|16MA087043
15555000802|TENNANTS FINE CHEMICALS LIMITED|884002006|406002185|Schlumberger|16XH028075
15555000802|TENNANTS FINE CHEMICALS LIMITED|884002006|406002185|Kent|98118128A
15555000802|TENNANTS FINE CHEMICALS LIMITED|884002006|406002185|Kent|97088121
15555000802|TENNANTS FINE CHEMICALS LIMITED|884002006|406002185|Kent|99812277
15555000802|TENNANTS FINE CHEMICALS LIMITED|884002006|406002185|Kent|00008194
15555005001|ESTERCHEM LTD|638002123|152034263|Unknown|15BU026697
